GAT(
  (gat_layers): ModuleList(
    (0): GATConv(
      (fc): Linear(in_features=500, out_features=64, bias=False)
      (feat_drop): Dropout(p=0.6, inplace=False)
      (attn_drop): Dropout(p=0.6, inplace=False)
      (leaky_relu): LeakyReLU(negative_slope=0.2)
    )
    (1): GATConv(
      (fc): Linear(in_features=64, out_features=24, bias=False)
      (feat_drop): Dropout(p=0.6, inplace=False)
      (attn_drop): Dropout(p=0.6, inplace=False)
      (leaky_relu): LeakyReLU(negative_slope=0.2)
    )
  )
)
Epoch 00000 | Time(s) nan | Loss 1.0983 | TrainAcc 0.3500 | ValAcc 0.4060 | f1-score 0.2920 |ETputs(KTEPS) nan| GPU : 139.7 MB 
Epoch 00001 | Time(s) nan | Loss 1.0995 | TrainAcc 0.3000 | ValAcc 0.5360 | f1-score 0.3380 |ETputs(KTEPS) nan| GPU : 140.1 MB 
Epoch 00002 | Time(s) nan | Loss 1.0947 | TrainAcc 0.4500 | ValAcc 0.6340 | f1-score 0.4040 |ETputs(KTEPS) nan| GPU : 140.1 MB 
Epoch 00003 | Time(s) 0.0120 | Loss 1.0915 | TrainAcc 0.6000 | ValAcc 0.6700 | f1-score 0.4540 |ETputs(KTEPS) 9062.94| GPU : 140.1 MB 
Epoch 00004 | Time(s) 0.0211 | Loss 1.0874 | TrainAcc 0.5667 | ValAcc 0.6960 | f1-score 0.4980 |ETputs(KTEPS) 5139.02| GPU : 140.1 MB 
Epoch 00005 | Time(s) 0.0201 | Loss 1.0861 | TrainAcc 0.6833 | ValAcc 0.7120 | f1-score 0.5340 |ETputs(KTEPS) 5394.12| GPU : 140.1 MB 
Epoch 00006 | Time(s) 0.0187 | Loss 1.0831 | TrainAcc 0.7500 | ValAcc 0.7220 | f1-score 0.5800 |ETputs(KTEPS) 5805.74| GPU : 140.1 MB 
Epoch 00007 | Time(s) 0.0181 | Loss 1.0791 | TrainAcc 0.7333 | ValAcc 0.7200 | f1-score 0.6100 |ETputs(KTEPS) 6002.95| GPU : 140.1 MB 
Epoch 00008 | Time(s) 0.0177 | Loss 1.0765 | TrainAcc 0.7667 | ValAcc 0.7140 | f1-score 0.6420 |ETputs(KTEPS) 6134.08| GPU : 140.1 MB 
Epoch 00009 | Time(s) 0.0177 | Loss 1.0708 | TrainAcc 0.8667 | ValAcc 0.7240 | f1-score 0.6440 |ETputs(KTEPS) 6132.40| GPU : 140.1 MB 
Epoch 00010 | Time(s) 0.0176 | Loss 1.0679 | TrainAcc 0.8333 | ValAcc 0.7260 | f1-score 0.6260 |ETputs(KTEPS) 6154.25| GPU : 140.1 MB 
Epoch 00011 | Time(s) 0.0169 | Loss 1.0627 | TrainAcc 0.8167 | ValAcc 0.7280 | f1-score 0.6760 |ETputs(KTEPS) 6394.86| GPU : 140.1 MB 
Epoch 00012 | Time(s) 0.0166 | Loss 1.0646 | TrainAcc 0.7833 | ValAcc 0.7280 | f1-score 0.6700 |ETputs(KTEPS) 6516.68| GPU : 140.1 MB 
Epoch 00013 | Time(s) 0.0164 | Loss 1.0599 | TrainAcc 0.8667 | ValAcc 0.7300 | f1-score 0.6920 |ETputs(KTEPS) 6606.19| GPU : 140.1 MB 
Epoch 00014 | Time(s) 0.0159 | Loss 1.0531 | TrainAcc 0.8833 | ValAcc 0.7280 | f1-score 0.7020 |ETputs(KTEPS) 6806.28| GPU : 140.1 MB 
Epoch 00015 | Time(s) 0.0156 | Loss 1.0484 | TrainAcc 0.8333 | ValAcc 0.7280 | f1-score 0.6940 |ETputs(KTEPS) 6959.53| GPU : 140.1 MB 
Epoch 00016 | Time(s) 0.0154 | Loss 1.0426 | TrainAcc 0.8500 | ValAcc 0.7280 | f1-score 0.6980 |ETputs(KTEPS) 7040.08| GPU : 140.1 MB 
Epoch 00017 | Time(s) 0.0152 | Loss 1.0342 | TrainAcc 0.8500 | ValAcc 0.7260 | f1-score 0.7220 |ETputs(KTEPS) 7135.37| GPU : 140.1 MB 
Epoch 00018 | Time(s) 0.0151 | Loss 1.0314 | TrainAcc 0.8667 | ValAcc 0.7240 | f1-score 0.6980 |ETputs(KTEPS) 7157.54| GPU : 140.1 MB 
Epoch 00019 | Time(s) 0.0150 | Loss 1.0114 | TrainAcc 0.9000 | ValAcc 0.7280 | f1-score 0.7000 |ETputs(KTEPS) 7243.53| GPU : 140.1 MB 
Epoch 00020 | Time(s) 0.0148 | Loss 1.0218 | TrainAcc 0.8667 | ValAcc 0.7280 | f1-score 0.7140 |ETputs(KTEPS) 7337.20| GPU : 140.1 MB 
Epoch 00021 | Time(s) 0.0146 | Loss 0.9896 | TrainAcc 0.9000 | ValAcc 0.7280 | f1-score 0.7020 |ETputs(KTEPS) 7432.64| GPU : 140.1 MB 
Epoch 00022 | Time(s) 0.0146 | Loss 1.0029 | TrainAcc 0.8667 | ValAcc 0.7280 | f1-score 0.7360 |ETputs(KTEPS) 7426.22| GPU : 140.1 MB 
Epoch 00023 | Time(s) 0.0144 | Loss 0.9919 | TrainAcc 0.9167 | ValAcc 0.7260 | f1-score 0.7100 |ETputs(KTEPS) 7548.63| GPU : 140.1 MB 
Epoch 00024 | Time(s) 0.0142 | Loss 0.9850 | TrainAcc 0.8667 | ValAcc 0.7280 | f1-score 0.7040 |ETputs(KTEPS) 7635.99| GPU : 140.1 MB 
Epoch 00025 | Time(s) 0.0142 | Loss 0.9689 | TrainAcc 0.8833 | ValAcc 0.7280 | f1-score 0.7380 |ETputs(KTEPS) 7650.39| GPU : 140.1 MB 
Epoch 00026 | Time(s) 0.0143 | Loss 0.9719 | TrainAcc 0.8833 | ValAcc 0.7280 | f1-score 0.7260 |ETputs(KTEPS) 7590.39| GPU : 140.1 MB 
Epoch 00027 | Time(s) 0.0141 | Loss 0.9724 | TrainAcc 0.8333 | ValAcc 0.7280 | f1-score 0.7280 |ETputs(KTEPS) 7689.70| GPU : 140.1 MB 
Epoch 00028 | Time(s) 0.0141 | Loss 0.9546 | TrainAcc 0.9000 | ValAcc 0.7260 | f1-score 0.7420 |ETputs(KTEPS) 7702.62| GPU : 140.1 MB 
